"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 17 00:39:57 GMT 2023","Thu Aug 17 00:40:00 GMT 2023","3532","tests","test_main_page","TestMainPage","","","TC 012 - Проверка функциональности ссылки 'Местоположение'",""
"passed","Thu Aug 17 00:43:49 GMT 2023","Thu Aug 17 00:43:54 GMT 2023","4440","tests.catalog","test_catalog_page","TestCatalogPage","","","007_positive_catalog_first_link_smoke",""
"passed","Thu Aug 17 00:40:53 GMT 2023","Thu Aug 17 00:40:53 GMT 2023","77","tests","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Thu Aug 17 00:36:09 GMT 2023","Thu Aug 17 00:36:16 GMT 2023","6798","tests","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"passed","Thu Aug 17 00:36:43 GMT 2023","Thu Aug 17 00:36:49 GMT 2023","5836","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"passed","Thu Aug 17 00:44:22 GMT 2023","Thu Aug 17 00:44:37 GMT 2023","14802","tests.catalog","test_catalog_page","TestCatalogPage","","","008_positive_cost_plaster_mixtures_smoke",""
"skipped","Thu Aug 17 00:43:27 GMT 2023","Thu Aug 17 00:43:37 GMT 2023","10865","tests.catalog","test_catalog_page","TestCatalogPage","","","004_positive_alfabet_plaster_mixtures_smoke",""
"passed","Thu Aug 17 00:46:07 GMT 2023","Thu Aug 17 00:46:20 GMT 2023","13159","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_3500_4999rub_smoke",""
"passed","Thu Aug 17 00:50:07 GMT 2023","Thu Aug 17 00:50:11 GMT 2023","4015","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью формы авторизации",""
"passed","Thu Aug 17 00:41:00 GMT 2023","Thu Aug 17 00:41:03 GMT 2023","2482","tests","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"passed","Thu Aug 17 00:49:33 GMT 2023","Thu Aug 17 00:50:00 GMT 2023","26720","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта ya.ru",""
"passed","Thu Aug 17 00:44:38 GMT 2023","Thu Aug 17 00:44:50 GMT 2023","12357","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_0-49rub_smoke",""
"passed","Thu Aug 17 00:39:04 GMT 2023","Thu Aug 17 00:39:06 GMT 2023","2485","tests","test_main_page","TestMainPage","","","TC 009 - Проверка функциональности ссылки 'Доставка'",""
"passed","Thu Aug 17 00:48:21 GMT 2023","Thu Aug 17 00:48:37 GMT 2023","15601","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта mail.ru",""
"passed","Thu Aug 17 00:37:48 GMT 2023","Thu Aug 17 00:37:57 GMT 2023","9801","tests","test_main_page","TestMainPage","","","TC 005 - Функционал блока 'Советы от профессионалов ремонта'",""
"passed","Thu Aug 17 00:40:08 GMT 2023","Thu Aug 17 00:40:12 GMT 2023","4363","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"passed","Thu Aug 17 00:41:36 GMT 2023","Thu Aug 17 00:41:41 GMT 2023","4561","tests","test_main_page","TestMainPage","","","TC 018 - Проверка функциональности ссылки 'Акции'",""
"passed","Thu Aug 17 00:36:17 GMT 2023","Thu Aug 17 00:36:23 GMT 2023","6584","tests","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"passed","Thu Aug 17 00:38:29 GMT 2023","Thu Aug 17 00:38:32 GMT 2023","2761","tests","test_main_page","TestMainPage","","","TC 007 - Проверка функциональности ссылки 'Строительные советы'",""
"skipped","Thu Aug 17 00:43:11 GMT 2023","Thu Aug 17 00:43:25 GMT 2023","14814","tests.catalog","test_catalog_page","TestCatalogPage","","","004_positive_alfabet_plaster_mixtures_smoke",""
"passed","Thu Aug 17 00:40:32 GMT 2023","Thu Aug 17 00:40:32 GMT 2023","148","tests","test_main_page","TestMainPage","","","TC 014 - Проверка функциональности ссылки 'Оплатить заказ'",""
"passed","Thu Aug 17 00:45:18 GMT 2023","Thu Aug 17 00:45:31 GMT 2023","12227","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_10000_14999rub_smoke",""
"passed","Thu Aug 17 00:48:05 GMT 2023","Thu Aug 17 00:48:05 GMT 2023","284","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Проверка открытия тултипа с кнопками 'Войти' и 'Регистрация' и открытия окна авторизации",""
"passed","Thu Aug 17 00:36:30 GMT 2023","Thu Aug 17 00:36:36 GMT 2023","5324","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"passed","Thu Aug 17 00:40:46 GMT 2023","Thu Aug 17 00:40:46 GMT 2023","103","tests","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Thu Aug 17 00:39:21 GMT 2023","Thu Aug 17 00:39:21 GMT 2023","115","tests","test_main_page","TestMainPage","","","TC 010 - Проверка функциональности ссылки 'email'",""
"passed","Thu Aug 17 00:49:08 GMT 2023","Thu Aug 17 00:49:25 GMT 2023","17205","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта vk.ru",""
